Mouse,Date,k,TDA Score
CB295,040222,3,0.6444444444444445
CB295,040222,4,0.6722222222222223
CB295,040222,5,0.6722222222222223
CB295,040222,6,0.6749999999999999
CB295,040222,7,0.6833333333333333
CB295,040222,8,0.6805555555555556
CB295,040222,9,0.6833333333333333
CB295,040222,10,0.6861111111111111
CB295,040622,1,0.4416666666666667
CB295,040622,2,0.4111111111111111
CB295,040622,3,0.38055555555555565
CB295,040622,4,0.41111111111111115
CB295,040622,5,0.41666666666666663
CB295,040622,6,0.42222222222222217
CB295,040622,7,0.4166666666666667
CB295,040622,8,0.4111111111111111
CB295,040622,9,0.4222222222222222
CB295,040622,10,0.42777777777777776
CB295,033022,1,0.45
CB295,033022,2,0.46944444444444444
CB295,033022,3,0.5222222222222223
CB295,033022,4,0.5611111111111111
CB295,033022,5,0.5305555555555556
CB295,033022,6,0.5805555555555555
CB295,033022,7,0.5583333333333333
CB295,033022,8,0.5277777777777778
CB295,033022,9,0.5222222222222224
CB295,033022,10,0.5333333333333334
CB293,040222,1,0.4794117647058823
CB293,040222,2,0.5
CB293,040222,3,0.5029411764705882
CB293,040222,4,0.5588235294117647
CB293,040222,5,0.5294117647058822
CB293,040222,6,0.5029411764705882
CB293,040222,7,0.5235294117647058
CB293,040222,8,0.4794117647058823
CB293,040222,9,0.46470588235294114
CB293,040222,10,0.4705882352941176
CB293,040422,1,0.4235294117647059
CB293,040422,2,0.3970588235294118
CB293,040422,3,0.46470588235294114
CB293,040422,4,0.47058823529411764
CB293,040422,5,0.46764705882352936
CB293,040422,6,0.49411764705882344
CB293,040422,7,0.5117647058823529
CB293,040422,8,0.5117647058823529
CB293,040422,9,0.5235294117647058
CB293,040422,10,0.5235294117647058
CB293,040622,1,0.43055555555555564
CB293,040622,2,0.4027777777777778
CB293,040622,3,0.39444444444444443
CB293,040622,4,0.3861111111111111
CB293,040622,5,0.3638888888888889
CB293,040622,6,0.39444444444444443
CB293,040622,7,0.35
CB293,040622,8,0.38333333333333336
CB293,040622,9,0.3888888888888889
CB293,040622,10,0.3833333333333333
CB300,060922,1,0.4552631578947368
CB300,060922,2,0.4552631578947367
CB300,060922,3,0.4552631578947368
CB300,060922,4,0.4947368421052631
CB300,060922,5,0.4947368421052631
CB300,060922,6,0.5052631578947369
CB300,060922,7,0.49736842105263157
CB300,060922,8,0.5
CB300,060922,9,0.5052631578947369
CB300,060922,10,0.481578947368421
CB300,061722,1,0.42727272727272725
CB300,061722,2,0.39772727272727265
CB300,061722,3,0.3954545454545454
CB300,061722,4,0.4136363636363637
CB300,061722,5,0.4022727272727272
CB300,061722,6,0.40681818181818186
CB300,061722,7,0.3727272727272727
CB300,061722,8,0.3477272727272728
CB300,061722,9,0.35227272727272724
CB300,061722,10,0.36363636363636365
CB300,062022,1,0.33333333333333337
CB300,062022,2,0.34259259259259256
CB300,062022,3,0.33148148148148143
CB300,062022,4,0.31666666666666665
CB300,062022,5,0.2925925925925925
CB300,062022,6,0.31296296296296294
CB300,062022,7,0.29814814814814816
CB300,062022,8,0.28888888888888886
CB300,062022,9,0.2796296296296296
CB300,062022,10,0.2703703703703704
CB301,070322,1,0.3347826086956522
CB301,070322,2,0.35217391304347834
CB301,070322,3,0.36086956521739133
CB301,070322,4,0.3739130434782608
CB301,070322,5,0.3717391304347825
CB301,070322,6,0.35652173913043483
CB301,070322,7,0.3760869565217392
CB301,070322,8,0.34347826086956523
CB301,070322,9,0.3391304347826087
CB301,070322,10,0.308695652173913
CB301,062422,1,0.5333333333333333
CB301,062422,2,0.47916666666666663
CB301,062422,3,0.5124999999999998
CB301,062422,4,0.4895833333333332
CB301,062422,5,0.5145833333333334
CB301,062422,6,0.5020833333333334
CB301,062422,7,0.5020833333333333
CB301,062422,8,0.4854166666666666
CB301,062422,9,0.4624999999999999
CB301,062422,10,0.4333333333333333
CB301,062722,1,0.29230769230769227
CB301,062722,2,0.3211538461538461
CB301,062722,3,0.2730769230769231
CB301,062722,4,0.30192307692307696
CB301,062722,5,0.30769230769230776
CB301,062722,6,0.2980769230769231
CB301,062722,7,0.2865384615384615
CB301,062722,8,0.2961538461538461
CB301,062722,9,0.29615384615384616
CB301,062722,10,0.3096153846153846
CB311,081022,1,0.42592592592592593
CB311,081022,2,0.4611111111111111
CB311,081022,3,0.45185185185185184
CB311,081022,4,0.49074074074074064
CB311,081022,5,0.4851851851851852
CB311,081022,6,0.4722222222222222
CB311,081022,7,0.5092592592592593
CB311,081022,8,0.4888888888888888
CB311,081022,9,0.5074074074074074
CB311,081022,10,0.4981481481481481
CB311,081222,1,0.5685185185185185
CB311,081222,2,0.5611111111111111
CB311,081222,3,0.5944444444444444
CB311,081222,4,0.5611111111111111
CB311,081222,5,0.5537037037037037
CB311,081222,6,0.5203703703703704
CB311,081222,7,0.5370370370370369
CB311,081222,8,0.5166666666666666
CB311,081222,9,0.5259259259259259
CB311,081222,10,0.5351851851851853
CB311,081522,1,0.537037037037037
CB311,081522,2,0.5981481481481482
CB311,081522,3,0.574074074074074
CB311,081522,4,0.574074074074074
CB311,081522,5,0.5888888888888888
CB311,081522,6,0.6129629629629629
CB311,081522,7,0.6166666666666667
CB311,081522,8,0.6203703703703705
CB311,081522,9,0.6166666666666666
CB311,081522,10,0.638888888888889
CB312,081022,1,0.3574074074074074
CB312,081022,2,0.3685185185185185
CB312,081022,3,0.4
CB312,081022,4,0.3759259259259259
CB312,081022,5,0.39629629629629626
CB312,081022,6,0.40740740740740733
CB312,081022,7,0.39629629629629626
CB312,081022,8,0.39999999999999997
CB312,081022,9,0.4037037037037036
CB312,081022,10,0.41296296296296287
CB312,081522,1,0.42222222222222217
CB312,081522,2,0.42407407407407405
CB312,081522,3,0.45
CB312,081522,4,0.4481481481481481
CB312,081522,5,0.4666666666666666
CB312,081522,6,0.47222222222222215
CB312,081522,7,0.4648148148148148
CB312,081522,8,0.4851851851851851
CB312,081522,9,0.4851851851851851
CB312,081522,10,0.4703703703703703
CB312,081222,1,0.5999999999999999
CB312,081222,2,0.5537037037037037
CB312,081222,3,0.55
CB312,081222,4,0.562962962962963
CB312,081222,5,0.5388888888888889
CB312,081222,6,0.5851851851851851
CB312,081222,7,0.5592592592592591
CB312,081222,8,0.5611111111111111
CB312,081222,9,0.5537037037037037
CB312,081222,10,0.5666666666666667
CB313,081222,1,0.30185185185185176
CB313,081222,2,0.3166666666666666
CB313,081222,3,0.30925925925925923
CB313,081222,4,0.33703703703703697
CB313,081222,5,0.3666666666666666
CB313,081222,6,0.3833333333333333
CB313,081222,7,0.37962962962962954
CB313,081222,8,0.3648148148148148
CB313,081222,9,0.3685185185185185
CB313,081222,10,0.3555555555555555
CB313,081522,1,0.5074074074074073
CB313,081522,2,0.5222222222222221
CB313,081522,3,0.5351851851851852
CB313,081522,4,0.5722222222222222
CB313,081522,5,0.5962962962962962
CB313,081522,6,0.5574074074074075
CB313,081522,7,0.5611111111111111
CB313,081522,8,0.5351851851851851
CB313,081522,9,0.5277777777777777
CB313,081522,10,0.5148148148148147
CB313,081722,1,0.3629629629629629
CB313,081722,2,0.3685185185185185
CB313,081722,3,0.2851851851851851
CB313,081722,4,0.3037037037037037
CB313,081722,5,0.3055555555555556
CB313,081722,6,0.2925925925925926
CB313,081722,7,0.3074074074074074
CB313,081722,8,0.2814814814814815
CB313,081722,9,0.30925925925925934
CB313,081722,10,0.31851851851851853
CB280,121721,1,0.4147058823529412
CB280,121721,2,0.4
CB280,121721,3,0.39117647058823535
CB280,121721,4,0.41764705882352937
CB280,121721,5,0.40294117647058825
CB280,121721,6,0.3764705882352941
CB280,121721,7,0.3852941176470588
CB280,121721,8,0.3705882352941176
CB280,121721,9,0.3647058823529411
CB280,121721,10,0.39999999999999997
CB280,121521,1,0.8923076923076921
CB280,121521,2,0.8423076923076923
CB280,121521,3,0.9019230769230768
CB280,121521,4,0.8673076923076923
CB280,121521,5,0.8673076923076923
CB280,121521,6,0.8576923076923076
CB280,121521,7,0.8500000000000002
CB280,121521,8,0.8423076923076923
CB280,121521,9,0.851923076923077
CB280,121521,10,0.8461538461538461
CB316,100422,1,0.5203703703703704
CB316,100422,2,0.5222222222222221
CB316,100422,3,0.5314814814814814
CB316,100422,4,0.5425925925925925
CB316,100422,5,0.5444444444444445
CB316,100422,6,0.5111111111111111
CB316,100422,7,0.524074074074074
CB316,100422,8,0.5111111111111112
CB316,100422,9,0.49259259259259247
CB316,100422,10,0.5129629629629628
CB321,113022,1,0.387037037037037
CB321,113022,2,0.387037037037037
CB321,113022,3,0.38888888888888884
CB321,113022,4,0.39444444444444443
CB321,113022,5,0.3666666666666667
CB321,113022,6,0.3777777777777777
CB321,113022,7,0.3907407407407407
